# Downloaded from http://www.jiggins.gen.cam.ac.uk/pdfs/DGRP%20line%20means.zip
# From the paper doi:10.1371/journal.pgen.1003057

"id" "trait" "doc" "ref" "ge"
"1" "X101" "0.0625" "1" "0" "1"
"2" "X105" "0.529411764705882" "0" "0" "1"
"3" "X109" "0.257142857142857" "1" "0" "1"
"4" "X129" "0.263888888888889" "1" "0" "1"
"5" "X136" "0.0925925925925926" "0.5" "1" "1"
"6" "X138" "0.652173913043478" "0" "0" "1"
"7" "X142" "0.768115942028985" "1" "0" "1"
"8" "X149" "0.65" "1" "0" "1"
"9" "X153" "0.0363636363636364" "1" "1" "0"
"10" "X158" "0.952380952380952" "0" "0" "1"
"11" "X161" "0.227272727272727" "0" "0" "1"
"12" "X176" "0.793103448275862" "0" "0" "1"
"13" "X177" "0.0508474576271186" "1" "1" "1"
"14" "X181" "0.619047619047619" "1" "0" "1"
"15" "X189" "0.962962962962963" "0" "0" "1"
"16" "X195" "0.413333333333333" "1" "1" "1"
"17" "X208" "0.0540540540540541" "1" "0" "1"
"18" "X21" "0.0434782608695652" "1" "0" "1"
"19" "X217" "0.426829268292683" "1" "0" "1"
"20" "X223" "0.418181818181818" "1" "0" "1"
"21" "X227" "0.553571428571429" "1" "0" "1"
"22" "X228" "0.935897435897436" "0" "0" "1"
"23" "X229" "0.289855072463768" "1" "0" "1"
"24" "X233" "0.76271186440678" "0" "0" "1"
"25" "X235" "0.625" "1" "0" "1"
"26" "X237" "0.304347826086957" "1" "0" "1"
"27" "X239" "0.109375" "1" "0" "1"
"28" "X256" "0.898550724637681" "1" "0" "1"
"29" "X26" "0.142857142857143" "1" "0" "1"
"30" "X272" "0.371428571428571" "1" "0" "1"
"31" "X28" "0.868421052631579" "1" "0" "1"
"32" "X280" "0.430379746835443" "1" "0" "1"
"33" "X287" "0.298507462686567" "1" "0" "1"
"34" "X301" "0.267605633802817" "1" "0" "1"
"35" "X303" "0.75" "0" "0" "1"
"36" "X304" "0.842857142857143" "0" "0" "1"
"37" "X306" "0.305084745762712" "1" "0" "1"
"38" "X307" "0.142857142857143" "1" "0" "1"
"39" "X309" "0.0317460317460317" "0.5" "0" "1"
"40" "X310" "0.23943661971831" "1" "0" "1"
"41" "X313" "0.903846153846154" "0" "0" "1"
"42" "X315" "0.196969696969697" "1" "0" "1"
"43" "X317" "0.262295081967213" "1" "0" "1"
"44" "X318" "0" "1" "1" "1"
"45" "X319" "0.101694915254237" "1" "0" "1"
"46" "X324" "0.949152542372881" "1" "0" "1"
"47" "X325" "0.679245283018868" "1" "0" "1"
"48" "X332" "0.134146341463415" "1" "0" "1"
"49" "X335" "0.227848101265823" "1" "0" "1"
"50" "X336" "0.78125" "0" "0" "1"
"51" "X338" "0.912280701754386" "0" "0" "1"
"52" "X340" "0.358208955223881" "1" "0" "1"
"53" "X343" "0.12280701754386" "1" "0" "1"
"54" "X350" "0.737704918032787" "1" "0" "1"
"55" "X352" "0.964285714285714" "0" "0" "1"
"56" "X356" "0.166666666666667" "1" "0" "1"
"57" "X357" "0.25" "1" "0" "1"
